event_id,country,region,year,lat,lon,source_index,n_eo_scenes_est,perimeter_source,license,class,url,r1,r2,r3,r4,r5,r6,notes
AU_EMSR500_PERTH,AU,Western Australia,2021,-31.7797,116.1777,CEMS EMSR500,6,CEMS DEL+MONIT+GRA,Copernicus open,ml_weak,https://mapping.emergency.copernicus.eu/activations/EMSR500/,1,1,1,1,1,1,Perth-adjacent Feb 2021; F2 pack hashed under data/open_if/latam_au/au/AU_EMSR500_PERTH/ (3 CEMS labels + 3 S2 NBR); still ml_weak L2 proxy
AU_EMSR408_NSW,AU,New South Wales,2019,-30.8820,151.1550,CEMS EMSR408 AOI09 Bendemeer,7,CEMS DEL+3 MONIT,Copernicus open,ml_weak,https://mapping.emergency.copernicus.eu/activations/EMSR408/,1,1,1,1,1,1,P1-A pack hashed under data/open_if/latam_au/au/AU_EMSR408_NSW/ (4 CEMS labels + 3 S2 NBR); AOI09 Bendemeer not Gospers; still ml_weak L2 proxy
AU_EMSR408_GOSPERS,AU,New South Wales,2019,-33.4000,150.5000,CEMS EMSR408 AOI11 Gospers,5,CEMS DEL,Copernicus open,ml_weak,https://mapping.emergency.copernicus.eu/activations/EMSR408/,1,1,1,1,1,0,Gospers Mountain AOI subset of EMSR408; lat/lon approx AOI; verify vector zip bbox on pack
AU_NAFI_NT_SEASON_2023,AU,Northern Territory,2023,-12.4634,130.8456,NAFI fire scars,6,NAFI annual scar window Darwin/NT,open/reg,ml_weak,https://www.firenorth.org.au/,1,1,1,1,1,1,P1-A L1 pack hashed under data/open_if/latam_au/au/AU_NAFI_NT_SEASON_2023/ (3 annual windows 2021-23 + 3 S2 NBR); not NT cadastre
AU_NT_FIRE_HISTORY,AU,Northern Territory,2020,-19.0000,133.0000,NT Fire History CC-BY,3,NT validated fire extents,CC-BY,ml_weak,https://data.nt.gov.au/dataset/nt-fire-history,0,1,0,1,1,0,Portal dataset; pick single large fire after download; R1/R3 pending materialization
AU_NSW_NPWS_HISTORY,AU,New South Wales,2020,-33.8688,151.2093,NSW NPWS Fire History SEED,3,NPWS final fire boundaries,NSW open,ml_weak,https://datasets.seed.nsw.gov.au/dataset/fire-history-wildfires-and-prescribed-burns-1e8b6,0,1,0,1,1,0,Multi-year wildfire polygons; select 2019-20 Black Summer event for pack
AU_BLACK_SUMMER_PANGAEA,AU,national SE,2019,-35.0000,148.0000,PANGAEA 939064 Black Summer,3,research polygons >100km2,PANGAEA open,ml_weak,https://doi.pangaea.de/10.1594/PANGAEA.939064,0,1,1,1,1,0,391 large fires metrics+polys; cite Levin et al.; pick 1 event for EO stack
AU_ABARES_BS_TABLES,AU,national,2019,-33.0000,150.0000,ABARES forest fire tables,0,national area tables not geometry,AU gov open,context_only,https://www.agriculture.gov.au/abares/forestsaustralia/forest-data-maps-and-tools/data-by-topic/fire,0,0,0,1,1,0,Stats discovery only; not a training pack by itself
AU_DEA_HOTSPOTS_INDEX,AU,national,,-25.0000,134.0000,DEA Hotspots index,0,hotspots not perimeter,CC-BY / open,context_only,https://hotspots.dea.ga.gov.au/,0,0,0,1,1,0,Index/viewer for event hunt; attach EO+scar for any shortlist fire
AU_NIAFED_EXTENT,AU,national,2020,-33.0000,150.0000,National Indicative Aggregated Fire Extent,2,indicative national extent,AU gov open,ml_weak,https://fed.dcceew.gov.au/datasets/erin::national-indicative-aggregated-fire-extent-dataset/about,0,1,0,1,1,0,Black Summer era national extent service; coarse; discovery+weak label
CL_EMSR647_NACIMIENTO,CL,Biobío / Ñuble,2023,-37.3872,-73.2739,CEMS EMSR647,8,CEMS multi-MONIT DEL,Copernicus open,ml_weak,https://mapping.emergency.copernicus.eu/activations/EMSR647/,1,1,1,1,1,1,Chile Feb 2023 AOI01 Nacimiento; F2 pack hashed under data/open_if/latam_au/cl/CL_EMSR647_NACIMIENTO/ (3 CEMS labels + 3 S2 NBR); still ml_weak L2 proxy
