source_id,name,country_or_region,role,url,license_class,access,lab_ok_provisional,status,http_code,final_url,elapsed_ms,error,checked_at_utc,notes
AU_DEA_HOTSPOTS,Digital Earth Australia Hotspots,AU,hotspots_nrt_history,https://hotspots.dea.ga.gov.au/,open,open,True,reachable,200,https://hotspots.dea.ga.gov.au/,1897,,2026-08-12T22:57:37.969703Z,National hotspot viewer/WMS/WFS. Weak labels / timeline only; not final perimeter.
AU_DEA_HOTSPOTS_GA,DEA Hotspots product page (GA),AU,product_docs,https://www.ga.gov.au/scientific-topics/dea/dea-data-and-products/dea-hotspots,open,open,True,reachable,200,https://www.ga.gov.au/scientific-topics/dea/dea-data-and-products/dea-hotspots,2192,,2026-08-12T22:57:37.969703Z,Docs and access notes for DEA Hotspots.
AU_NAFI,NAFI North Australia Fire Information,AU,fire_scars_hotspots,https://www.firenorth.org.au/,open_reg,open,True,reachable,200,https://firenorth.org.au/nafi3/,5733,,2026-08-12T22:57:37.969703Z,Seasonal fire scar GeoTIFF/shapefile downloads; multi-week scars good for ml_weak.
AU_NT_FIRE_HISTORY,NT Fire History (data.nt.gov.au),AU,fire_history_polygons,https://data.nt.gov.au/dataset/nt-fire-history,open,open,True,reachable,200,https://data.nt.gov.au/dataset/nt-fire-history,2317,,2026-08-12T22:57:37.969703Z,NT fire extents validated vs RS; NAFI-linked.
AU_NSW_NPWS_FIRE_HISTORY,NSW NPWS Fire History (SEED),AU,fire_history_polygons,https://datasets.seed.nsw.gov.au/dataset/fire-history-wildfires-and-prescribed-burns-1e8b6,open,open,True,reachable,202,https://datasets.seed.nsw.gov.au/dataset/fire-history-wildfires-and-prescribed-burns-1e8b6,307,,2026-08-12T22:57:37.969703Z,Wildfire + prescribed burn final boundaries; multi-year.
AU_NSW_DATA_FIRE_HISTORY,NSW Fire History listing (data.nsw),AU,index,https://data.nsw.gov.au/data/dataset/fire-history-wildfires-and-prescribed-burns-1e8b6,open,open,True,reachable,200,https://data.nsw.gov.au/data/dataset/fire-history-wildfires-and-prescribed-burns-1e8b6,1711,,2026-08-12T22:57:37.969703Z,Alternate portal entry for NPWS fire history.
AU_ABARES_FOREST_FIRE,ABARES forest fire data,AU,national_stats_extents,https://www.agriculture.gov.au/abares/forestsaustralia/forest-data-maps-and-tools/data-by-topic/fire,open,open,True,unreachable,,,40353,TimeoutError:The read operation timed out,2026-08-12T22:57:37.969703Z,National forest fire area tables including Black Summer; not multi-scene EO stacks.
AU_NIAFED_BLACK_SUMMER,National Indicative Aggregated Fire Extent (Black Summer era),AU,aggregated_extents,https://fed.dcceew.gov.au/datasets/erin::national-indicative-aggregated-fire-extent-dataset/about,open,open,True,reachable,200,https://fed.dcceew.gov.au/datasets/erin::national-indicative-aggregated-fire-extent-dataset/about,1199,,2026-08-12T22:57:37.969703Z,Indicative national fire extent; use as discovery/perimeter proxy.
AU_PANGAEA_BLACK_SUMMER,Black Summer wildfires metrics (PANGAEA),AU,research_polygons,https://doi.pangaea.de/10.1594/PANGAEA.939064,open,open,True,reachable,200,https://doi.pangaea.de/10.1594/PANGAEA.939064,297,,2026-08-12T22:57:37.969703Z,391 large Black Summer fires polygons + ignition points; research pack.
AU_GEOSCIENCE_HOME,Geoscience Australia,AU,eo_agency,https://www.ga.gov.au/,open,open,True,reachable,200,https://www.ga.gov.au/,960,,2026-08-12T22:57:37.969703Z,Portal hub for DEA and national geoscience products.
CEMS_EMSR500_WA,CEMS EMSR500 Wildfire Western Australia (Perth),AU,cems_delineation,https://mapping.emergency.copernicus.eu/activations/EMSR500/,open,open,True,reachable,200,https://mapping.emergency.copernicus.eu/activations/EMSR500/,288,,2026-08-12T22:57:37.969703Z,"2021-02; DEL + MONIT + GRA vector zips. AOI Perth ~116.18,-31.78."
CEMS_EMSR408_NSW,CEMS EMSR408 Wildfires NSW Australia,AU,cems_delineation,https://mapping.emergency.copernicus.eu/activations/EMSR408/,open,open,True,reachable,200,https://mapping.emergency.copernicus.eu/activations/EMSR408/,270,,2026-08-12T22:57:37.969703Z,2019-11 Black Summer period; many AOIs with multi-MONIT products.
BR_INPE_BDQUEIMADAS,INPE BDQueimadas,BR,hotspots,https://data.inpe.br/queimadas/bdqueimadas/,open,open,True,reachable,200,https://data.inpe.br/queimadas/bdqueimadas/,1374,,2026-08-12T22:57:37.969703Z,Active fire points LatAm; export tools; weak labels.
BR_TERRABRASILIS,TerraBrasilis (INPE),BR,downloads_portal,https://terrabrasilis.dpi.inpe.br/,open,open,True,reachable,200,https://terrabrasilis.dpi.inpe.br/,2199,,2026-08-12T22:57:37.969703Z,Shapefile/raster downloads for fire and deforestation products.
